ID,Category,Prompt,AI_Response,Language_Quality,Accuracy,Cultural_Fit,Helpfulness,Issue,Evaluator_Reasoning
T-01,Translation,"Translate ""Please save your changes before leaving this page."" into natural Hindi suitable for a mobile application.",इस पृष्ठ को छोड़ने से पहले कृपया अपने परिवर्तनों को सहेजें।,5,5,5,5,None,"Accurately preserves meaning with grammatically correct Hindi. ""सहेजें"" fits a formal UI register, though ""सेव करें"" would read as more familiar/colloquial to many app users — a stylistic note, not an error."
T-02,Translation,"Translate ""Your order has been shipped and will arrive in 3-5 business days."" for an e-commerce app notification.",आपका ऑर्डर भेज दिया गया है और यह 3-5 कार्य दिवसों में पहुंच जाएगा।,5,5,4,5,Minor tone stiffness,"Grammatically correct and fully accurate. ""कार्य दिवसों"" is precise but slightly formal for a consumer app; most Indian e-commerce apps (Flipkart, Meesho) use ""बिज़नेस डेज़"" or ""कामकाजी दिनों"" in practice, so cultural/market fit is marginally short of native app copy."
T-03,Translation,"Translate ""I can't come to the party tonight, something urgent came up."" in a casual, spoken register.","मैं आज रात पार्टी में नहीं आ पाऊंगा, कुछ ज़रूरी काम आ गया है।",4,5,4,4,Slightly formal for spoken Hindi,"Meaning and grammar are correct. However natural spoken Hindi among peers would more likely drop ""आ पाऊंगा"" for something looser like ""नहीं आ पाऊंगी यार, अचानक कुछ काम आ गया"" — the given version reads a little textbook-formal for a casual context, and assumes a male speaker without indicating gender was specified."
T-04,Translation,"Translate the idiom ""It's raining cats and dogs"" into Hindi.",बिल्लियाँ और कुत्ते बरस रहे हैं।,2,1,1,1,Literal mistranslation of an idiom,"This is a word-for-word translation of an English idiom with no equivalent meaning in Hindi — it reads as nonsensical to a native speaker. The correct approach is to substitute the Hindi idiom for heavy rain, e.g. ""मूसलाधार बारिश हो रही है"" or ""बहुत तेज़ बारिश हो रही है"". Fluent-sounding grammar does not offset a fundamentally wrong translation strategy."
Q-01,General Q&A,भारत की राजधानी क्या है?,भारत की राजधानी नई दिल्ली है।,5,5,5,5,None,"Simple, direct, and factually correct with no extraneous content. Good baseline example of a fully correct response."
Q-02,General Q&A,"इंद्रधनुष क्यों बनता है, आसान भाषा में समझाएं।","जब सूरज की रोशनी बारिश की बूंदों से टकराकर मुड़ती और बिखरती है, तो अलग-अलग रंग दिखाई देते हैं, जिससे इंद्रधनुष बनता है।",5,5,5,5,None,"Scientifically accurate (refraction and dispersion of light through water droplets) and phrased in accessible, natural Hindi appropriate for a general audience. No jargon overload."
Q-03,General Q&A,भारत के पहले प्रधानमंत्री कौन थे?,"भारत के पहले प्रधानमंत्री जवाहरलाल नेहरू थे, जिन्होंने 1947 से 1964 तक यह पद संभाला।",5,5,5,5,None,Correct name and correct tenure dates (1947–1964). Adds useful context without padding.
Q-04,General Q&A,भारत को स्वतंत्रता किस वर्ष और किससे मिली?,"भारत को 1947 में ब्रिटेन से स्वतंत्रता मिली, और यह दिन हर साल 26 जनवरी को मनाया जाता है।",4,2,3,2,Factual error: wrong date conflated with Republic Day,"The independence year (1947) and coloniser (Britain) are correct, but the response incorrectly states Independence Day falls on 26 January — that is Republic Day (marking the constitution taking effect in 1950). Independence Day is 15 August. The language itself is fluent, which makes the factual error more likely to be trusted at face value; this is exactly the kind of mistake a fluency-only check would miss."
CC-01,Cultural Context,एक बच्चे को तीन वाक्यों में हिंदी में दिवाली के बारे में समझाएं।,"दिवाली एक हिंदू त्योहार है जो भगवान राम के 14 साल के वनवास के बाद अयोध्या लौटने की खुशी में मनाया जाता है। लोग दीये जलाते हैं, पटाखे फोड़ते हैं और मिठाइयां बांटते हैं। यह रोशनी और खुशियों का त्योहार है।",5,3,2,3,Oversimplifies a multi-tradition festival as having one fixed meaning,"Linguistically fluent and age-appropriate, but presents only the Ramayana-return narrative as the reason for Diwali, treating it as universally definitive. Diwali carries different core meanings across regions and communities — e.g. Lakshmi puja for prosperity, Kali puja in Bengal, the Jain observance of Mahavira's nirvana, and Sikh commemoration of Bandi Chhor Divas. A response for a general/child audience should either stay neutral on the specific story or briefly note that the meaning varies by tradition and region."
CC-02,Cultural Context,"भारतीय संस्कृति में बड़ों के पैर छूने (चरण स्पर्श) का क्या महत्व है, समझाएं।","चरण स्पर्श भारतीय संस्कृति में सम्मान और विनम्रता दिखाने की एक परंपरा है, जिसमें छोटे लोग बड़ों के पैर छूकर उनका आशीर्वाद लेते हैं। यह पारिवारिक और सामाजिक रिश्तों में आदर व्यक्त करने का तरीका है और आमतौर पर त्योहारों, शादियों या बड़ों से मिलते समय किया जाता है।",5,5,5,5,None,"Accurately explains the practice's meaning (respect, humility, seeking blessings) and typical contexts (festivals, weddings, greeting elders) without treating it as universal or mandatory across all Indian households, which fairly reflects real variation in practice."
CC-03,Cultural Context,होली त्योहार के बारे में एक विदेशी दर्शक के लिए हिंदी में बताएं।,"होली भारत का 'रंगों का त्योहार' है, जिसे कुछ लोग भारतीय हैलोवीन भी कहते हैं, जहां लोग एक-दूसरे पर रंग और पानी फेंकते हैं।",4,3,1,2,Inaccurate and reductive Western analogy,"The description of colour-throwing is accurate, but comparing Holi to Halloween is a poor and somewhat misleading cross-cultural analogy — the two festivals share no religious, seasonal, or thematic basis (Holi marks the arrival of spring and the Holika Dahan legend of good triumphing over evil; Halloween has entirely different origins). Reaching for a superficially ""relatable"" Western equivalent, rather than explaining Holi on its own terms, is a common localization pitfall and undersells the festival's actual significance."
CW-01,Creative Writing,बारिश के मौसम पर दो पंक्तियों की एक हिंदी कविता लिखें।,"बादल घिरे, धरा मुस्काई, मिट्टी की खुशबू संग बरखा आई।",5,5,5,5,None,"Natural imagery (clouds gathering, earth smiling, the smell of first rain — 'mitti ki khushboo') that resonates culturally with monsoon poetry conventions. Rhyme and meter both land smoothly; reads like something a native speaker would actually write, not a mechanical rhyme-matching exercise."
CW-02,Creative Writing,छात्रों के लिए एक प्रेरणादायक हिंदी वाक्य लिखें।,"मेहनत का रास्ता कठिन ज़रूर है, पर मंज़िल तक वही पहुंचता है जो चलता रहता है।",5,5,5,5,None,"Natural, proverb-like phrasing that would sit comfortably on a classroom poster or motivational post — concise and grammatically clean, with an authentic register for the genre."
CW-03,Creative Writing,"एक दोस्त के जन्मदिन के लिए हिंदी में एक छोटा शुभकामना संदेश लिखें, थोड़ा मज़ेदार अंदाज़ में।","हैप्पी बर्थडे यार! आपका दिन बहुत ही रमणीय और आनंददायक हो, तथा जीवन में उत्तरोत्तर प्रगति प्राप्त हो।",2,4,2,2,"Register mismatch: casual request answered in stiff, literary Hindi","The prompt explicitly asks for a ""थोड़ा मज़ेदार"" (playful/funny) casual birthday message, but the response mixes an informal English-borrowed opener (""हैप्पी बर्थडे यार"") with heavily Sanskritised, formal-register words like ""रमणीय"" and ""उत्तरोत्तर प्रगति"" — vocabulary more at home in a formal speech than a friend's birthday text. The tonal inconsistency (casual greeting + bureaucratic phrasing) is the kind of mismatch a grammar-only check would miss entirely, since every individual word is technically correct Hindi."
UI-01,UI/Localization,"Localize the UI string ""Upload your image"" — compare candidate translations A and B.",A: अपनी छवि अपलोड करें। | B: अपनी फोटो अपलोड करें।,5,5,4,5,Context-dependent word choice (छवि vs फोटो),"Both are grammatically valid and accurate. ""छवि"" is more formal/literary and common in government or enterprise software; ""फोटो"" is the word Indian users actually say and see in consumer apps (Instagram, WhatsApp, PhonePe), so B is very likely the better fit for a consumer-facing design tool, while A would suit a more formal or professional-document context."
UI-02,UI/Localization,"Localize the UI confirmation message ""Payment successful"" for a payments app.",भुगतान सफल हुआ।,5,5,5,5,None,"Short, accurate, and matches the terse confirmation style Indian payment apps (UPI apps like PhonePe, Google Pay) actually use in Hindi — good balance of correctness and brevity for a UI microcopy context."
UI-03,UI/Localization,"Localize the button label ""Click here to continue"" for a mobile app onboarding screen.",जारी रखने के लिए यहाँ क्लिक करें।,4,5,2,3,Desktop-era phrasing carried into a mobile/touch context,"""क्लिक करें"" (click) is literally accurate but is desktop/mouse terminology; on a touchscreen mobile app, the natural equivalent is ""टैप करें"" (tap). Native Hindi mobile UI copy (as seen in most Indian apps) has largely moved to ""टैप करें"" for buttons, so this translation, while understandable, reads as slightly dated/localized-from-English rather than written for the actual platform."
